12,Wpr HI,AUS,Australia,Bunbury,16.1,2014,"1 station, rural (small town)",measured data,7.778,2014,"1 station, rural (small town)",measured data,PM10: NA; PM2.5:>75%,http://www.der.wa.gov.au/your-environment/air
13,Wpr HI,AUS,Australia,Busselton,16.7831506249092,2014,-,converted from PM2.5,7.2,2014,"1 station, rural (small town)",measured data,PM10: NA; PM2.5:>75%,http://www.der.wa.gov.au/your-environment/air
14,Wpr HI,AUS,Australia,Canberra,15.8507533679698,2014,-,converted from PM2.5,6.8,2014,"1 station, Monash district playing fields",measured data,PM10: NA; PM2.5:>75%,http://www.environment.act.gov.au/__data/assets/pdf_file/0005/745646/2014-ACT-Air-Quality-Report-v1-0.pdf
15,Wpr HI,AUS,Australia,Central Coast,12.8204622829167,2014,-,converted from PM2.5,5.5,2014,"1 station, race course",measured data,PM10: NA; PM2.5:>75%,http://www.environment.nsw.gov.au/resources/aqms/150004nswairqual14.pdf
16,Wpr HI,AUS,Australia,Collie,19.2,2014,"1 station, rural (small town)",measured data,8.23683246903756,2014,-,converted from PM10,PM10: NA; PM2.5:NA,http://www.der.wa.gov.au/your-environment/air
17,Wpr HI,AUS,Australia,Darwin,18.8810444530228,2014,-,converted from PM2.5,8.1,2014,"1 station, residential",measured data,PM10: NA; PM2.5:>75%,http://www.ntepa.nt.gov.au/__data/assets/pdf_file/0011/359048/nepm_compliance_report_nt_2014.pdf
18,Wpr HI,AUS,Australia,"Devonport, Tasmania",14.9183561110304,2013,-,converted from PM2.5,6.4,2013,"1 station, residential",measured data,PM10: NA; PM2.5:>75%,Environment Protection Authority
19,Wpr HI,AUS,Australia,Geelong,17.5,2014,"1 station, Residential/Light Industry",measured data,7.50752959417486,2014,-,converted from PM10,PM10: >75%; PM2.5:NA,"EPA Victoria, Environment Protection Authority Macleod"
20,Wpr HI,AUS,Australia,Geraldton,22.3,2014,"1 station, rural (small town)",measured data,9.56673771143425,2014,-,converted from PM10,PM10: NA; PM2.5:NA,http://www.der.wa.gov.au/your-environment/air
21,Wpr HI,AUS,Australia,Gladstone,14.025,2014,"4 stations, Residential (outer urban)",measured data,4.95,2014,"4 stations, Residential (outer urban)",measured data,PM10: >75%; PM2.5:>75%,http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/network-stations/
22,Wpr HI,AUS,Australia,"Hobart, Tasmania",14.2190581683258,2013,-,converted from PM2.5,6.1,2013,"1 station, residential",measured data,PM10: NA; PM2.5:>75%,Environment Protection Authority
23,Wpr HI,AUS,Australia,La Trobe Valley,19.95,2013.5,"2 stations, residential, rural",measured data,9.8,2014,"3 stations, residential, rural",measured data,PM10: >75%; PM2.5:>75%,http://www.epa.vic.gov.au/our-work/monitoring-the-environment/monitoring-victorias-air/monitoring-results/~/media/Files/Our%20work/Monitoring%20the%20environment/Monitoring%20Vics%20air/monitoring%20results/2013-data-tables.pdf
24,Wpr HI,AUS,Australia,"Launceston, Tasmania",18.8810444530228,2013,-,converted from PM2.5,8.1,2013,"1 station, Rural (small town)",measured data,PM10: NA; PM2.5:<75 % but annually representative,Environment Protection Authority
25,Wpr HI,AUS,Australia,Lower Hunter,17.3270490247905,2014,-,converted from PM2.5,7.43333333333333,2014,"3 stations, high school",measured data,PM10: NA; PM2.5:>75%,http://www.environment.nsw.gov.au/resources/aqms/150004nswairqual14.pdf
26,Wpr HI,AUS,Australia,Mackay,17.2,2014,"1 station, residential rural",measured data,7.37882908684615,2014,-,converted from PM10,PM10: >75%; PM2.5:NA,http://www.qld.gov.au/environment/assets/documents/pollution/monitoring/air-reports/air-monitoring-report.pdf
27,Wpr HI,AUS,Australia,Melbourne,18.75,2013.8,"10 stations, Residential/Light Industry",measured data,7.7,2014,"2 stations, Residential/Light Industry",measured data,PM10: >75%; PM2.5:NA,http://www.epa.vic.gov.au/our-work/monitoring-the-environment/monitoring-victorias-air/monitoring-results/~/media/Files/Our%20work/Monitoring%20the%20environment/Monitoring%20Vics%20air/monitoring%20results/2013-data-tables.pdf
28,Wpr HI,AUS,Australia,Moranbah,20.5,2014,"1 station, industrial/residential",measured data,8.79453466746198,2014,-,converted from PM10,PM10: NA; PM2.5:NA,http://www.qld.gov.au/environment/assets/documents/pollution/monitoring/air-reports/air-monitoring-report.pdf
29,Wpr HI,AUS,Australia,Mount Isa,15.7,2014,"1 station, industrial/residential",measured data,6.73532655020259,2014,-,converted from PM10,PM10: >75%; PM2.5:NA,http://www.qld.gov.au/environment/assets/documents/pollution/monitoring/air-reports/air-monitoring-report.pdf
30,Wpr HI,AUS,Australia,Muswellbrook,21.4,2014,"1 station, Residential (outer urban)",measured data,9.18063618944812,2014,-,converted from PM10,PM10: NA; PM2.5:NA,http://www.environment.nsw.gov.au/AQMS/
31,Wpr HI,AUS,Australia,Newcastle,19.2333333333333,2014,"3 stations, Residential (outer urban)",measured data,8.25113252540742,2014,-,converted from PM10,PM10: NA; PM2.5:NA,http://www.environment.nsw.gov.au/AQMS/
32,Wpr HI,AUS,Australia,Palmerston,21.5616865667236,2014,-,converted from PM2.5,9.25,2014,"1 station, industrial/residential",measured data,PM10: NA; PM2.5:>75%,http://www.ntepa.nt.gov.au/__data/assets/pdf_file/0011/359048/nepm_compliance_report_nt_2014.pdf
33,Wpr HI,AUS,Australia,Perth,16.7666666666667,2014,"3 stations, Residential (outer urban)",measured data,7.95,2014,"4 stations, Residential (outer urban)",measured data,PM10: NA; PM2.5:NA,http://www.der.wa.gov.au/your-environment/air
34,Wpr HI,AUS,Australia,Singleton,21,2014,"1 station, Rural (small town)",measured data,9.00903551300983,2014,-,converted from PM10,PM10: NA; PM2.5:NA,http://www.environment.nsw.gov.au/AQMS/
35,Wpr HI,AUS,Australia,Sydney,16.56,2014,"15 stations, Residential (outer urban)",measured data,7.68,2014,"5 stations, Residential (outer urban)",measured data,PM10: NA; PM2.5:NA,http://www.environment.nsw.gov.au/AQMS/
36,Wpr HI,AUS,Australia,Tamworth,15.8,2014,"1 station, Rural (small town)",measured data,6.77822671931216,2014,-,converted from PM10,PM10: NA; PM2.5:NA,http://www.environment.nsw.gov.au/AQMS/
37,Wpr HI,AUS,Australia,Townsville,16.75,2014,"2 stations, residential",measured data,7.18577832585308,2014,-,converted from PM10,PM10: >75%; PM2.5:NA,http://www.environment.nsw.gov.au/resources/aqms/150004nswairqual14.pdf
38,Wpr HI,AUS,Australia,Upper Hunter,19.658042167139,2014,-,converted from PM2.5,8.43333333333333,2014,"3 stations, NA",measured data,PM10: NA; PM2.5:>75%,http://www.environment.nsw.gov.au/resources/aqms/150004nswairqual14.pdf
39,Wpr HI,AUS,Australia,Wagga Wagga,20.7,2014,"1 station, Rural (small town)",measured data,7.5,2014,"1 station, Rural (small town)",measured data,PM10: NA; PM2.5:>75%,http://www.environment.nsw.gov.au/resources/aqms/150004nswairqual14.pdf
40,Wpr HI,AUS,Australia,Whyalla,16.3,2014,"1 station, rural (small town)",measured data,6.99272756486002,2014,-,converted from PM10,PM10: NA; PM2.5:NA,http://www.epa.sa.gov.au/data_and_publications/air_quality_monitoring
41,Wpr HI,AUS,Australia,Wollongong,17.0666666666667,2014,"3 stations, Residential (outer urban)",measured data,7,2014,"1 station, Residential (outer urban)",measured data,PM10: NA; PM2.5:NA,http://www.environment.nsw.gov.au/resources/aqms/150004nswairqual14.pdf
42,Wpr HI,AUS,Australia,Wyong,15.1,2014,"1 station, Residential (outer urban)",measured data,6.47792553554517,2014,-,converted from PM10,PM10: NA; PM2.5:NA,http://www.environment.nsw.gov.au/AQMS/
43,Eur HI,AUT,Austria,ARNOLDSTEIN,14.17572947,2013,"1 station, industrial, suburban",measured data,10.3907875225591,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
44,Eur HI,AUT,Austria,BAD ISCHL,15.8690373646019,2013,-,converted from PM2.5,11.63197956,2013,"1 station, background, suburban",measured data,PM10: NA; PM2.5:>75%,"European Environment Agency, Air quality e-reporting database"
45,Eur HI,AUT,Austria,BAD VöSLAU,18.07442396,2013,"1 station, background, suburban",measured data,13.2485244839405,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
46,Eur HI,AUT,Austria,BIEDERMANNSDORF,20.23320746,2013,"1 station, traffic, suburban",measured data,14.830909411868,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
47,Eur HI,AUT,Austria,BLUDENZ,17.55710306,2013,"1 station, background, suburban",measured data,12.8693290736263,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
48,Eur HI,AUT,Austria,BRUCK AN DER MUR,23.89818818,2013,"1 station, background, suburban",measured data,17.5173345455014,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
49,Eur HI,AUT,Austria,DEUTSCHLANDSBERG,22.30692307,2013,"1 station, background, suburban",measured data,16.3509397095204,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
50,Eur HI,AUT,Austria,DORNBIRN,19.00826446,2013,"1 station, background, urban",measured data,13.9330281093797,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
51,Eur HI,AUT,Austria,EBENTHAL,20.39641161,2013,"1 station, background, rural",measured data,14.9505377984734,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
52,Eur HI,AUT,Austria,EISENSTADT,23.54172307,2013,"1 station, background, suburban",measured data,18.83130169,2013,"1 station, background, suburban",measured data,PM10: >75%; PM2.5:>75%,"European Environment Agency, Air quality e-reporting database"
53,Eur HI,AUT,Austria,FELDKIRCH,23.1436464,2013,"1 station, traffic, urban",measured data,16.9642566012964,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
54,Eur HI,AUT,Austria,FüRSTENFELD,25.75818328,2013,"1 station, background, suburban",measured data,18.880708043705,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
55,Eur HI,AUT,Austria,Gänserndorf,20.6409419,2013,"1 station, background, suburban",measured data,15.1297781184581,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
56,Eur HI,AUT,Austria,GRAZ,24.824225412,2013,"5 stations, background suburban",measured data,18.79859978,2013,"2 stations, background suburban",measured data,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
57,Eur HI,AUT,Austria,GROSSENZERSDORF,23.9878225930124,2013,-,converted from PM2.5,17.58303643,2013,"1 station, background, rural-nearcity",measured data,PM10: NA; PM2.5:>75%,"European Environment Agency, Air quality e-reporting database"
58,Eur HI,AUT,Austria,HALL IN TIROL,24.23667582,2013,"1 station, traffic, urban",measured data,17.7654454560331,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
59,Eur HI,AUT,Austria,HALLEIN,24.05248618,2013,"1 station, traffic, urban",measured data,17.6304347380911,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
60,Eur HI,AUT,Austria,HARTBERG,23.57063339,2013,"1 station, background, suburban",measured data,17.2772373969145,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
61,Eur HI,AUT,Austria,HEITERWANG,13.02213213,2013,"1 station, traffic, rural",measured data,9.54520247722532,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
62,Eur HI,AUT,Austria,HIMBERG,23.43267223,2013,"1 station, traffic, suburban",measured data,17.1761120824847,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
63,Eur HI,AUT,Austria,HöCHST,21.33149171,2013,"1 station, traffic, rural",measured data,15.6359500487731,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
64,Eur HI,AUT,Austria,IMST,18.13013151,2013,"1 station, traffic, rural",measured data,13.289358030932,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
65,Eur HI,AUT,Austria,INNSBRUCK,20.588430765,2013,"2 stations, traffic, urban",measured data,14.42780821,2013,"1 station, traffic, urban",measured data,PM10: >75%; PM2.5:>75%,"European Environment Agency, Air quality e-reporting database"
66,Eur HI,AUT,Austria,JUDENBURG,17.11141254,2013,"1 station, background, suburban",measured data,12.5426386197813,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
67,Eur HI,AUT,Austria,KAPFENBERG,17.61163382,2013,"1 station, background, urban",measured data,12.909300035389,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
68,Eur HI,AUT,Austria,KEMATEN,20.31965684,2013,"1 station, traffic, urban",measured data,14.8942766721517,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
69,Eur HI,AUT,Austria,KLAGENFURT,23.02879097,2013,"2 stations, traffic, urban",measured data,13.783685825,2013,"2 stations, traffic, urban",measured data,PM10: >75%; PM2.5:>75%,"European Environment Agency, Air quality e-reporting database"
70,Eur HI,AUT,Austria,KLOSTERNEUBURG,26.82380952,2013,"1 station, traffic, urban",measured data,19.6618104103759,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
71,Eur HI,AUT,Austria,KNITTELFELD,21.34033627,2013,"1 station, background, urban",measured data,15.6424330974152,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
72,Eur HI,AUT,Austria,KREMS,23.64537015,2013,"1 station, background, urban",measured data,17.3320193250635,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
73,Eur HI,AUT,Austria,KUFSTEIN,17.43291355,2013,"1 station, traffic, urban",measured data,12.7782983570998,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
74,Eur HI,AUT,Austria,LEOBEN,19.594179815,2013,"2 stations, background, urban",measured data,14.3625031478878,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
75,Eur HI,AUT,Austria,LIENZ,19.62969863,2013,"1 station, traffic, urban",measured data,14.73121883,2013,"1 station, traffic, urban",measured data,PM10: >75%; PM2.5:>75%,"European Environment Agency, Air quality e-reporting database"
76,Eur HI,AUT,Austria,LIEZEN,20.20033926,2013,"1 station, background, suburban",measured data,14.8068170726927,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
77,Eur HI,AUT,Austria,LINZ,25.9800604566667,2013,"3 stations, background, urban",measured data,17.4025427466667,2013,"3 stations, background, urban",measured data,PM10: >75%; PM2.5:>75%,"European Environment Agency, Air quality e-reporting database"
78,Eur HI,AUT,Austria,LUSTENAU,20.373669585,2013,"2 stations, background, urban",measured data,14.9338679297299,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
79,Eur HI,AUT,Austria,MöDLING,20.61672051,2013,"1 station, background, suburban",measured data,15.1120238774842,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
80,Eur HI,AUT,Austria,MüRZZUSCHLAG,17.20441612,2013,"1 station, background, suburban",measured data,12.6108100984105,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
81,Eur HI,AUT,Austria,SALZBURG,25.27123287,2013,"1 station, traffic, urban",measured data,15.959967895,2013,"2 stations, traffic, urban",measured data,PM10: >75%; PM2.5:>75%,"European Environment Agency, Air quality e-reporting database"
82,Eur HI,AUT,Austria,SANKT ANDRä IM LAVANTTAL,24.00713827,2013,"1 station, industrial, urban",measured data,17.5971947910111,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
83,Eur HI,AUT,Austria,SANKT POELTEN,24.27761938,2013,"1 station, background, suburban",measured data,17.61350394,2013,"1 station, background, suburban",measured data,PM10: >75%; PM2.5:>75%,"European Environment Agency, Air quality e-reporting database"
84,Eur HI,AUT,Austria,SANKT VEIT AN DER GLAN,21.79284849,2013,"1 station, background, urban",measured data,15.9741238466872,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
85,Eur HI,AUT,Austria,SCHWAZ,20.33323287,2013,"1 station, traffic, suburban",measured data,14.904227880901,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
86,Eur HI,AUT,Austria,SCHWECHAT,23.30740428,2013,"1 station, traffic, suburban",measured data,17.0842908711254,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
87,Eur HI,AUT,Austria,SPITTAL AN DER DRAU,20.37255082,2013,"1 station, background, suburban",measured data,14.9330478767353,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
88,Eur HI,AUT,Austria,STEYR,19.60164835,2013,"1 station, background, suburban",measured data,14.80660939,2013,"1 station, background, suburban",measured data,PM10: >75%; PM2.5:>75%,"European Environment Agency, Air quality e-reporting database"
89,Eur HI,AUT,Austria,STEYREGG,26.12693498,2013,"1 station, industrial, suburban",measured data,19.1510024628663,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
90,Eur HI,AUT,Austria,STOCKERAU,23.04775248,2013,"1 station, traffic, suburban",measured data,16.8939665079694,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
91,Eur HI,AUT,Austria,TRAISMAIER,21.62120208,2013,"1 station, background, rural-regional",measured data,15.8483072967104,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
92,Eur HI,AUT,Austria,TULLN,22.43511405,2013,"1 station, background, suburban",measured data,16.4449034972964,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
93,Eur HI,AUT,Austria,VILLACH,19.16081802,2013,"1 station, traffic, urban",measured data,14.0448496301786,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
94,Eur HI,AUT,Austria,VöCKLABRUCK,20.885276475472,2013,-,converted from PM2.5,15.30887498,2013,"1 station, background, suburban",measured data,PM10: NA; PM2.5:>75%,"European Environment Agency, Air quality e-reporting database"
95,Eur HI,AUT,Austria,WEIZ,25.58695065,2013,"1 station, traffic, suburban",measured data,18.7551947938208,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
96,Eur HI,AUT,Austria,WELS,22.93150684,2013,"1 station, background, urban",measured data,17.64124293,2013,"1 station, background, urban",measured data,PM10: >75%; PM2.5:>75%,"European Environment Agency, Air quality e-reporting database"
97,Eur HI,AUT,Austria,WIEN,25.7337748533333,2013,"9 stations, traffic, urban",measured data,18.001366825,2013,"6 stations, traffic, urban",measured data,PM10: >75%; PM2.5:>75%,"European Environment Agency, Air quality e-reporting database"
98,Eur HI,AUT,Austria,WIENER NEUDORF,23.05328385,2013,"1 station, traffic, suburban",measured data,16.40057414,2013,"1 station, traffic, suburban",measured data,PM10: >75%; PM2.5:>75%,"European Environment Agency, Air quality e-reporting database"
99,Eur HI,AUT,Austria,WIENER NEUSTADT,17.94066778,2013,"1 station, background, suburban",measured data,13.1504814132716,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
100,Eur HI,AUT,Austria,WOLFSBERG,25.69186003,2013,"1 station, traffic, urban",measured data,18.99303248,2013,"1 station, traffic, urban",measured data,PM10: >75%; PM2.5:>75%,"European Environment Agency, Air quality e-reporting database"
101,Eur HI,AUT,Austria,WöRGL,20.03850528,2013,"1 station, traffic, suburban",measured data,14.6881930185536,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
102,Eur HI,AUT,Austria,ZELTWEG,21.40365991,2013,"1 station, background, suburban",measured data,15.6888492264608,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
103,Emr HI,BHR,Bahrain,Hamad Town,317.88,2012,"1 station, 1 Residential urban station",measured data,65.52,2012,"1 station, 1 Residential urban station",measured data,PM10: NA; PM2.5:>75%,"Supreme Council of Environment, 2013."
104,Emr HI,BHR,Bahrain,Hidd,178.38,2012,"1 station, 1 Residential urban station",measured data,41.44,2012,"1 station, 1 Residential urban station",measured data,PM10: NA; PM2.5:>75%,"Supreme Council of Environment, 2013."
105,Emr HI,BHR,Bahrain,Ma'ameer,257.35,2012,"1 station, 1 Residential Industrial station (Mixed)",measured data,63.95,2012,"1 station, 1 Residential Industrial station (Mixed)",measured data,PM10: NA; PM2.5:>75%,"Supreme Council of Environment, 2013."
106,Emr HI,BHR,Bahrain,Nabih Saleh,244.07,2012,"1 station, 1 Urban background station",measured data,58.2,2012,"1 station, 1 Urban background station",measured data,PM10: NA; PM2.5:>75%,"Supreme Council of Environment, 2013."
107,Emr HI,BHR,Bahrain,Ras Hayan,250.42,2012,"1 station, 1 Rural background station",measured data,43.92,2012,"1 station, 1 Rural background station",measured data,PM10: NA; PM2.5:>75%,"Supreme Council of Environment, 2013."
108,Sear,BGD,Bangladesh,Barisal,142.355555555556,2014,"1 station, NA",measured data,85.3083333333333,2014,"1 station, NA",measured data,PM10: >75%; PM2.5:>75%,"Ministry of Environment and Forests, Clean Air and Sustainable Environment"
109,Sear,BGD,Bangladesh,Chittagong,134.637878787879,2014,"2 stations, NA",measured data,95.1141666666667,2014,"2 stations, NA",measured data,PM10: <75 % but annually representative; PM2.5:<75%,"Ministry of Environment and Forests, Clean Air and Sustainable Environment"
110,Sear,BGD,Bangladesh,Dhaka,158.052777777778,2014,"3 stations, NA",measured data,89.6960227272727,2014,"4 stations, NA",measured data,PM10: <75 % but annually representative; PM2.5:<75 % but annually representative,"Ministry of Environment and Forests, Clean Air and Sustainable Environment; http://spartan-network.org/"
111,Sear,BGD,Bangladesh,Gazipur,154.633333333333,2014,"1 station, NA",measured data,88.525,2014,"1 station, NA",measured data,PM10: >75%; PM2.5:>75%,"Ministry of Environment and Forests, Clean Air and Sustainable Environment"
112,Sear,BGD,Bangladesh,Khulna,108.6,2014,"1 station, NA",measured data,61.0916666666667,2014,"1 station, NA",measured data,PM10: <75%; PM2.5:<75%,"Policy impact on air quality in major metropolitan cities in Bangladesh, B.A. Begum, Md. Nasiruddin, P.K. Hopke, A. Markwitz, The African Review of Physics (in press, 2015)."
113,Sear,BGD,Bangladesh,Narayangonj,191.416666666667,2014,"1 station, NA",measured data,105.791666666667,2014,"1 station, NA",measured data,PM10: >75%; PM2.5:>75%,"Ministry of Environment and Forests, Clean Air and Sustainable Environment"
114,Sear,BGD,Bangladesh,Rajshahi,63.9,2014,"1 station, NA",measured data,36.8694527237593,2014,-,converted from PM10,PM10: <75%; PM2.5:NA,"Ministry of Environment and Forests, Clean Air and Sustainable Environment"
115,Sear,BGD,Bangladesh,Sylhet,169.7,2014,"1 station, NA",measured data,61.48,2014,"1 station, NA",measured data,PM10: <75%; PM2.5:<75%,"Ministry of Environment and Forests, Clean Air and Sustainable Environment"
116,Eur HI,BEL,Belgium,AARSCHOT,23.48305224,2013,"1 station, background, suburban",measured data,15.742543997427,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
117,Eur HI,BEL,Belgium,ANDENNE,18.3602205,2013,"1 station, background, rural",measured data,12.58622434,2013,"1 station, background, rural",measured data,PM10: >75%; PM2.5:>75%,"European Environment Agency, Air quality e-reporting database"
118,Eur HI,BEL,Belgium,ANTWERPEN,26.748982325,2013,"6 stations, background, urban",measured data,17.10960261,2013,"4 stations, background, urban",measured data,PM10: >75%; PM2.5:>75%,"European Environment Agency, Air quality e-reporting database"
119,Eur HI,BEL,Belgium,BERENDRECHT,25.97268394,2013,"1 station, background, suburban",measured data,17.4115406923234,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
120,Eur HI,BEL,Belgium,BERTRIX,14.92191411,2013,"1 station, background, rural",measured data,10.30017654,2013,"1 station, background, rural",measured data,PM10: >75%; PM2.5:>75%,"European Environment Agency, Air quality e-reporting database"
